Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_1,Chrome 119.0.0.0,,,2023-11-07 11:03:26,2023-11-07 11:03:33,7.401s,PASSED
,,,,,,,
Test Cases/TC_01,Chrome 119.0.0.0,,,2023-11-07 11:03:26,2023-11-07 11:03:33,6.846s,PASSED
"println(""Test Start"")",Chrome 119.0.0.0,,,2023-11-07 11:03:26,2023-11-07 11:03:26,0.004s,PASSED
"openBrowser(""https://www.facebook.com/login/"")",Chrome 119.0.0.0,,,2023-11-07 11:03:26,2023-11-07 11:03:31,5.095s,PASSED
"setText(findTestObject(""Username""), ""Rohit"")",Chrome 119.0.0.0,,,2023-11-07 11:03:31,2023-11-07 11:03:32,0.919s,PASSED
takeScreenshot(),Chrome 119.0.0.0,,,2023-11-07 11:03:32,2023-11-07 11:03:33,0.678s,PASSED
"println(""Test End"")",Chrome 119.0.0.0,,,2023-11-07 11:03:33,2023-11-07 11:03:33,0.000s,PASSED
